	MaxGSet	OpsGSetMax	PhaseRMS	TripOffset	TripSlope	Q0	Length
1L02-1	8.3	8.3	0.06	7.032	1.672	5140000000.0	0.5
1L02-2	11.3	11.3	0.052	10.156	1.826	3780000000.0	0.5
1L02-3	9.3	8.5	0.063	8.224	1.878	3310000000.0	0.5
1L02-4	7.9	5.1	0.05	0.0	0.0	2400000000.0	0.5
1L02-5	9.5	8.6	0.056	8.549	2.11	3610000000.0	0.5
1L02-6	12.0	10.75	0.071	11.482	4.315	3600000000.0	0.5
1L02-7	8.6	8.6	0.065	7.413	1.781	3520000000.0	0.5
1L02-8	14.0	8.55	0.057	11.061	0.51	3990000000.0	0.5
1L03-1	9.1	7.7	0.054	8.213	2.261	1660000000.0	0.5
1L03-2	8.3	8.3	0.057	7.257	2.054	1880000000.0	0.5
1L03-3	10.1	10.1	0.057	8.978	1.86	4100000000.0	0.5
1L03-4	12.5	12.5	0.055	0.0	0.0	1350000000.0	0.5
1L03-5	7.2	7.2	0.054	6.358	2.506	5250000000.0	0.5
1L03-6	7.4	7.4	0.052	5.977	1.504	4270000000.0	0.5
1L03-7	14.0	11.4	0.087	11.148	0.64	5720000000.0	0.5
1L03-8	9.1	9.1	0.084	7.868	1.674	5110000000.0	0.5
1L04-1	14.0	14.0	0.07	0.0	0.0	3490000000.0	0.5
1L04-2	14.0	14.0	0.07	0.0	0.0	3430000000.0	0.5
1L04-3	14.0	9.5	0.07	0.0	0.0	4250000000.0	0.5
1L04-4	14.0	14.0	0.07	0.0	0.0	4550000000.0	0.5
1L04-5	14.0	13.4	0.07	15.076	2.8	4510000000.0	0.5
1L04-6	14.0	14.0	0.07	0.0	0.0	5270000000.0	0.5
1L04-7	14.0	14.0	0.07	0.0	0.0	4280000000.0	0.5
1L04-8	14.0	14.0	0.07	0.0	0.0	4490000000.0	0.5
1L05-1	8.0	5.0	0.065	0.0	0.0	585000000.0	0.5
1L05-2	11.0	9.0	0.087	0.0	0.0	844000000.0	0.5
1L05-3	12.0	10.0	0.066	0.0	0.0	1110000000.0	0.5
1L05-4	9.0	8.4	0.081	0.0	0.0	2500000000.0	0.5
1L05-5	7.5	7.0	0.115	0.0	0.0	1440000000.0	0.5
1L05-6	11.0	10.0	0.083	0.0	0.0	1760000000.0	0.5
1L05-7	7.0	6.5	0.174	0.0	0.0	2980000000.0	0.5
1L05-8	5.0	4.4	0.082	0.0	0.0	1480000000.0	0.5
1L06-1	14.0	13.0	0.07	0.0	0.0	1940000000.0	0.5
1L06-2	14.0	12.0	0.07	0.0	0.0	4170000000.0	0.5
1L06-3	11.0	10.7	0.07	0.0	0.0	4390000000.0	0.5
1L06-4	14.0	12.5	0.07	0.0	0.0	2970000000.0	0.5
1L06-5	13.6	9.2	0.07	0.0	0.0	3080000000.0	0.5
1L06-6	14.0	14.0	0.07	0.0	0.0	2890000000.0	0.5
1L06-7	14.0	13.5	0.07	0.0	0.0	5730000000.0	0.5
1L06-8	10.4	9.9	0.07	0.0	0.0	4480000000.0	0.5
1L07-1	12.0	12.0	0.085	0.0	0.0	1830000000.0	0.5
1L07-2	6.4	6.4	0.04	5.386	2.118	1800000000.0	0.5
1L07-3	8.3	8.0	0.068	5.366	0.715	1430000000.0	0.5
1L07-4	8.0	8.0	0.048	0.0	0.0	1130000000.0	0.5
1L07-5	9.2	8.8	0.044	8.032	1.828	1930000000.0	0.5
1L07-6	8.3	8.3	0.041	7.443	2.522	2590000000.0	0.5
1L07-7	10.1	9.7	0.073	8.681	1.425	2980000000.0	0.5
1L07-8	10.2	8.4	0.062	8.97	1.732	3500000000.0	0.5
1L08-1	9.6	9.6	0.105	8.531	1.876	5170000000.0	0.5
1L08-2	9.3	8.15	0.091	8.655	3.169	3800000000.0	0.5
1L08-3	14.0	13.0	0.101	13.094	1.587	4470000000.0	0.5
1L08-4	11.4	5.71	0.077	9.796	1.317	2990000000.0	0.5
1L08-5	8.1	8.1	0.127	7.611	4.705	4020000000.0	0.5
1L08-6	9.6	9.6	0.097	8.454	1.8	5980000000.0	0.5
1L08-7	9.8	9.8	0.096	8.807	2.158	3430000000.0	0.5
1L08-8	12.4	9.25	0.157	9.367	0.68	4540000000.0	0.5
1L09-1	10.0	8.2	0.058	0.0	0.0	9040000000.0	0.5
1L09-2	11.2	9.7	0.069	0.0	0.0	2790000000.0	0.5
1L09-3	11.4	8.0	0.043	9.78	1.285	5580000000.0	0.5
1L09-4	9.2	5.8	0.083	8.195	2.031	5160000000.0	0.5
1L09-5	10.5	9.56	0.152	0.0	0.0	6530000000.0	0.5
1L09-6	11.1	10.3	0.057	0.0	0.0	5190000000.0	0.5
1L09-7	8.4	8.4	0.044	7.666	2.882	5750000000.0	0.5
1L09-8	7.5	7.5	0.034	6.384	1.829	7920000000.0	0.5
1L10-1	10.9	4.6	0.048	9.328	1.301	5210000000.0	0.5
1L10-2	10.4	6.2	0.066	9.216	1.718	5000000000.0	0.5
1L10-3	10.1	9.3	0.051	8.963	1.794	6820000000.0	0.5
1L10-4	9.7	6.3	0.042	8.402	1.648	4770000000.0	0.5
1L10-5	7.6	5.9	0.07	6.979	3.546	5310000000.0	0.5
1L10-6	12.3	9.56	0.046	10.358	1.05	5320000000.0	0.5
1L10-7	7.9	7.76	0.032	6.947	2.078	2600000000.0	0.5
1L10-8	10.2	6.33	0.058	9.002	1.72	3920000000.0	0.5
1L11-1	14.0	14.0	0.067	0.0	0.0	3660000000.0	0.5
1L11-2	14.0	11.0	0.106	0.0	0.0	2430000000.0	0.5
1L11-3	10.5	10.5	0.054	12.037	3.218	3260000000.0	0.5
1L11-4	12.0	12.0	0.08	0.0	0.0	3010000000.0	0.5
1L11-5	12.9	10.0	0.085	0.0	0.0	1720000000.0	0.5
1L11-6	12.9	12.9	0.076	0.0	0.0	2520000000.0	0.5
1L11-7	14.0	10.0	0.099	0.0	0.0	1380000000.0	0.5
1L11-8	9.9	9.5	0.085	0.0	0.0	3760000000.0	0.5
1L12-1	14.0	12.5	0.079	0.0	0.0	5000000000.0	0.5
1L12-2	14.0	12.8	0.077	0.0	0.0	3320000000.0	0.5
1L12-3	14.0	13.0	0.088	0.0	0.0	6100000000.0	0.5
1L12-4	14.0	14.0	0.113	0.0	0.0	5000000000.0	0.5
1L12-5	14.0	13.8	0.097	0.0	0.0	4520000000.0	0.5
1L12-6	14.0	12.5	0.14	7.089	7.108	5730000000.0	0.5
1L12-7	14.0	12.0	0.1	0.0	0.0	5020000000.0	0.5
1L12-8	14.0	13.0	0.076	0.0	0.0	4700000000.0	0.5
1L13-1	5.8	5.8	0.042	5.031	2.741	4640000000.0	0.5
1L13-2	6.2	6.2	0.045	5.452	2.74	4570000000.0	0.5
1L13-3	7.5	5.5	0.103	6.201	1.556	3700000000.0	0.5
1L13-4	7.4	7.4	0.081	6.858	4.114	3830000000.0	0.5
1L13-5	11.9	11.9	0.093	0.0	0.0	1820000000.0	0.5
1L13-6	10.3	10.3	0.072	7.172	0.661	3940000000.0	0.5
1L13-7	12.5	10.1	0.072	11.567	2.198	3070000000.0	0.5
1L13-8	10.1	6.5	0.033	0.0	0.0	3470000000.0	0.5
1L14-1	9.0	8.0	0.055	0.0	0.0	4440000000.0	0.5
1L14-2	9.4	9.0	0.052	8.417	2.109	5160000000.0	0.5
1L14-3	11.2	10.4	0.048	9.917	1.686	3020000000.0	0.5
1L14-4	8.5	8.5	0.049	7.02	1.418	2410000000.0	0.5
1L14-5	9.5	9.5	0.053	8.397	1.882	2010000000.0	0.5
1L14-6	11.3	10.9	0.044	10.097	1.705	3280000000.0	0.5
1L14-7	9.3	9.3	0.051	8.475	2.441	4180000000.0	0.5
1L14-8	12.0	10.25	0.07	10.741	1.634	3220000000.0	0.5
1L15-1	10.3	7.0	0.068	0.0	0.0	1890000000.0	0.5
1L15-2	9.8	9.8	0.061	8.629	1.787	2570000000.0	0.5
1L15-3	9.5	9.5	0.055	8.551	2.091	4640000000.0	0.5
1L15-4	8.8	8.8	0.053	7.591	1.728	1630000000.0	0.5
1L15-5	9.4	9.2	0.054	8.457	2.103	1810000000.0	0.5
1L15-6	11.5	11.5	0.067	9.855	1.261	3420000000.0	0.5
1L15-7	9.9	9.9	0.079	8.665	1.621	1800000000.0	0.5
1L15-8	5.2	5.0	0.05	0.0	0.0	1590000000.0	0.5
1L16-1	9.8	7.4	0.049	7.542	0.935	3750000000.0	0.5
1L16-2	8.5	8.5	0.061	7.427	1.981	5260000000.0	0.5
1L16-3	8.5	8.499	0.086	7.473	2.106	4840000000.0	0.5
1L16-4	8.4	8.4	0.07	7.279	1.859	4170000000.0	0.5
1L16-5	6.3	6.3	0.055	5.643	3.142	6740000000.0	0.5
1L16-6	6.7	6.7	0.06	6.049	3.097	3870000000.0	0.5
1L16-7	7.6	7.6	0.061	6.587	1.959	2980000000.0	0.5
1L16-8	6.6	6.6	0.043	5.809	2.537	5720000000.0	0.5
1L17-1	12.3	5.4	0.066	10.263	1.018	6900000000.0	0.5
1L17-2	9.7	7.766	0.101	8.384	1.586	2900000000.0	0.5
1L17-3	11.8	10.782	0.06	10.69	1.878	1980000000.0	0.5
1L17-4	9.2	9.2	0.048	7.756	1.447	4780000000.0	0.5
1L17-5	7.8	6.8	0.057	0.0	0.0	4130000000.0	0.5
1L17-6	11.8	7.0	0.047	10.036	1.151	2130000000.0	0.5
1L17-7	8.6	6.9	0.082	0.0	0.0	5800000000.0	0.5
1L17-8	9.0	8.7	0.074	0.0	0.0	3230000000.0	0.5
1L18-1	7.0	7.0	0.043	6.201	2.629	4320000000.0	0.5
1L18-2	9.4	9.4	0.058	8.074	1.559	4010000000.0	0.5
1L18-3	9.0	8.5	0.079	0.0	0.0	3610000000.0	0.5
1L18-4	8.6	8.6	0.06	7.3	1.601	4560000000.0	0.5
1L18-5	5.7	5.7	0.064	0.0	0.0	3680000000.0	0.5
1L18-6	11.1	6.9	0.076	10.534	3.575	4750000000.0	0.5
1L18-7	14.0	8.066	0.076	12.008	0.863	2860000000.0	0.5
1L18-8	12.2	5.5	0.078	10.831	1.565	2420000000.0	0.5
1L19-1	11.0	6.65	0.045	0.0	0.0	4790000000.0	0.5
1L19-2	11.0	9.7	0.05	0.0	0.0	2260000000.0	0.5
1L19-3	8.1	7.55	0.05	0.0	0.0	5170000000.0	0.5
1L19-4	9.6	6.8	0.045	8.391	1.72	1430000000.0	0.5
1L19-5	7.5	5.25	0.051	6.463	2.044	5810000000.0	0.5
1L19-6	10.3	7.46	0.039	9.858	4.423	1670000000.0	0.5
1L19-7	7.8	7.8	0.057	6.837	2.164	5250000000.0	0.5
1L19-8	8.2	8.2	0.05	7.093	1.923	6890000000.0	0.5
1L20-1	10.3	10.3	0.059	8.838	1.46	2780000000.0	0.5
1L20-2	7.9	7.9	0.051	6.804	1.841	2790000000.0	0.5
1L20-3	7.1	7.1	0.051	6.153	2.25	2960000000.0	0.5
1L20-4	12.8	9.75	0.059	9.72	0.677	1890000000.0	0.5
1L20-5	11.5	10.95	0.074	9.795	1.239	4790000000.0	0.5
1L20-6	10.3	10.3	0.052	8.615	1.211	4120000000.0	0.5
1L20-7	9.4	9.4	0.061	8.418	2.063	1680000000.0	0.5
1L20-8	9.1	9.1	0.041	7.609	1.387	1240000000.0	0.5
1L21-1	7.2	7.2	0.112	6.141	2.053	1710000000.0	0.5
1L21-2	7.8	7.8	0.094	6.707	1.876	1090000000.0	0.5
1L21-3	12.0	8.0	0.074	0.0	0.0	1830000000.0	0.5
1L21-4	11.0	9.4	0.064	0.0	0.0	1570000000.0	0.5
1L21-5	9.8	9.8	0.066	8.04	1.198	1460000000.0	0.5
1L21-6	6.8	6.8	0.061	3.604	0.66	5480000000.0	0.5
1L21-7	8.8	8.2	0.072	7.804	2.088	4150000000.0	0.5
1L21-8	6.1	6.1	0.076	5.007	1.959	1430000000.0	0.5
1L22-1	23.6	13.85	0.1	0.0	0.0	7970000000.0	0.7
1L22-2	24.85	14.0	0.1	0.0	0.0	7550000000.0	0.7
1L22-3	23.8	13.0	0.1	0.0	0.0	8110000000.0	0.7
1L22-4	24.45	15.0	0.1	0.0	0.0	8550000000.0	0.7
1L22-5	25.0	14.0	0.1	0.0	0.0	9390000000.0	0.7
1L22-6	25.0	15.0	0.1	0.0	0.0	10600000000.0	0.7
1L22-7	24.63	15.0	0.1	0.0	0.0	7570000000.0	0.7
1L22-8	23.2	15.0	0.1	0.0	0.0	7700000000.0	0.7
1L23-1	18.6	10.0	0.1	0.0	0.0	4160000000.0	0.7
1L23-2	24.18	19.0	0.1	0.0	0.0	7030000000.0	0.7
1L23-3	25.0	19.0	0.1	0.0	0.0	7040000000.0	0.7
1L23-4	25.0	19.0	0.1	0.0	0.0	6900000000.0	0.7
1L23-5	25.0	16.0	0.1	0.0	0.0	9160000000.0	0.7
1L23-6	25.0	13.5	0.1	0.0	0.0	4580000000.0	0.7
1L23-7	23.93	20.0	0.1	0.0	0.0	6890000000.0	0.7
1L23-8	23.75	16.5	0.1	0.0	0.0	6790000000.0	0.7
1L24-1	25.0	16.5	0.1	0.0	0.0	9400000000.0	0.7
1L24-2	25.0	15.5	0.1	0.0	0.0	7200000000.0	0.7
1L24-3	25.0	17.0	0.1	0.0	0.0	8900000000.0	0.7
1L24-4	24.38	18.0	0.1	0.0	0.0	8050000000.0	0.7
1L24-5	24.55	17.5	0.1	0.0	0.0	7320000000.0	0.7
1L24-6	23.03	16.0	0.1	0.0	0.0	7190000000.0	0.7
1L24-7	23.95	12.0	0.1	0.0	0.0	5570000000.0	0.7
1L24-8	25.0	14.85	0.1	0.0	0.0	7450000000.0	0.7
1L25-1	25.0	25.0	0.1	0.0	0.0	5370000000.0	0.7
1L25-2	25.0	20.5	0.1	0.0	0.0	5530000000.0	0.7
1L25-3	25.0	19.3	0.1	0.0	0.0	5720000000.0	0.7
1L25-4	25.0	19.0	0.1	0.0	0.0	5550000000.0	0.7
1L25-5	25.0	13.5	0.1	0.0	0.0	5940000000.0	0.7
1L25-6	25.0	14.0	0.1	0.0	0.0	5660000000.0	0.7
1L25-7	24.18	14.0	0.1	0.0	0.0	4900000000.0	0.7
1L25-8	25.0	14.1	0.1	0.0	0.0	4680000000.0	0.7
1L26-1	24.45	16.5	0.1	0.0	0.0	7920000000.0	0.7
1L26-2	25.0	16.0	0.1	0.0	0.0	11100000000.0	0.7
1L26-3	22.03	8.7	0.1	0.0	0.0	6890000000.0	0.7
1L26-4	21.85	12.0	0.1	0.0	0.0	6640000000.0	0.7
1L26-5	24.4	15.4	0.1	0.0	0.0	8370000000.0	0.7
1L26-6	25.0	11.0	0.1	0.0	0.0	10400000000.0	0.7
1L26-7	25.0	14.0	0.1	0.0	0.0	9630000000.0	0.7
1L26-8	21.6	13.0	0.1	0.0	0.0	3960000000.0	0.7
